album_uri,album_name,album_img,album_release_date,album_release_year,album_popularity,track_name,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode,track_popularity
5T9tTjPIfjbUJGRJdYOOLl,"Jackson Do Pandeiro Volume 1: Tum, Tum, Tum!",https://i.scdn.co/image/5dcc4a0cad740f1ee0774196d0a14f3693ef8879,1958-11-11,1958-11-11,1,"Tum, Tum, Tum",6cCYhV6fU68uzbjWPG9V7x,0.501,0.987,A,2.561,major,0.0429,0.718,0,0.282,0.963,101.676,158133,4,A major,1
5T9tTjPIfjbUJGRJdYOOLl,"Jackson Do Pandeiro Volume 1: Tum, Tum, Tum!",https://i.scdn.co/image/5dcc4a0cad740f1ee0774196d0a14f3693ef8879,1958-11-11,1958-11-11,1,Pacífico Pacato,6Gu7y9SgtVTGh8YGhDPtCe,0.663,0.962,F,1.137,major,0.181,0.738,0,0.2,0.961,113.562,139773,4,F major,0
5T9tTjPIfjbUJGRJdYOOLl,"Jackson Do Pandeiro Volume 1: Tum, Tum, Tum!",https://i.scdn.co/image/5dcc4a0cad740f1ee0774196d0a14f3693ef8879,1958-11-11,1958-11-11,1,Nortista Quatrocentão,1hq7M7cJtvDgQbQsgVuUAY,0.55,0.947,D,1.621,major,0.0469,0.666,0,0.251,0.923,116.125,163173,4,D major,0
5T9tTjPIfjbUJGRJdYOOLl,"Jackson Do Pandeiro Volume 1: Tum, Tum, Tum!",https://i.scdn.co/image/5dcc4a0cad740f1ee0774196d0a14f3693ef8879,1958-11-11,1958-11-11,1,Sem Querer,7LbixXwP54FZ3CIYdT6SU6,0.447,0.969,G,2.743,major,0.0549,0.759,0,0.333,0.899,116.023,143733,4,G major,0
5T9tTjPIfjbUJGRJdYOOLl,"Jackson Do Pandeiro Volume 1: Tum, Tum, Tum!",https://i.scdn.co/image/5dcc4a0cad740f1ee0774196d0a14f3693ef8879,1958-11-11,1958-11-11,1,Vou Sambar,5UmAyP51SUOP5A5BUY85no,0.544,0.972,E,2.513,minor,0.0502,0.787,0,0.176,0.783,112.863,151653,4,E minor,0
5T9tTjPIfjbUJGRJdYOOLl,"Jackson Do Pandeiro Volume 1: Tum, Tum, Tum!",https://i.scdn.co/image/5dcc4a0cad740f1ee0774196d0a14f3693ef8879,1958-11-11,1958-11-11,1,Boi da Cara Preta,1qeZoegF9uxlcgQKNRXZY8,0.571,0.926,F,2.414,major,0.0344,0.651,0,0.342,0.961,133.065,157480,4,F major,0
5T9tTjPIfjbUJGRJdYOOLl,"Jackson Do Pandeiro Volume 1: Tum, Tum, Tum!",https://i.scdn.co/image/5dcc4a0cad740f1ee0774196d0a14f3693ef8879,1958-11-11,1958-11-11,1,Linda,4oug1cBF5Mk3hyH4vPDTpJ,0.495,0.967,E,2.375,minor,0.0576,0.712,0,0.321,0.755,117.822,158133,4,E minor,0
5T9tTjPIfjbUJGRJdYOOLl,"Jackson Do Pandeiro Volume 1: Tum, Tum, Tum!",https://i.scdn.co/image/5dcc4a0cad740f1ee0774196d0a14f3693ef8879,1958-11-11,1958-11-11,1,Baião Do Bambolê,01bA2kRoORFKmUBtSCFd3t,0.572,0.986,C,2.597,major,0.0367,0.194,0,0.301,0.989,102.425,154680,4,C major,0
5T9tTjPIfjbUJGRJdYOOLl,"Jackson Do Pandeiro Volume 1: Tum, Tum, Tum!",https://i.scdn.co/image/5dcc4a0cad740f1ee0774196d0a14f3693ef8879,1958-11-11,1958-11-11,1,Quadro Negro,1ows1NezB4HDRnbnYPmXnN,0.5,0.947,F,3.078,major,0.0418,0.286,0,0.323,0.957,110.203,184120,4,F major,0
5T9tTjPIfjbUJGRJdYOOLl,"Jackson Do Pandeiro Volume 1: Tum, Tum, Tum!",https://i.scdn.co/image/5dcc4a0cad740f1ee0774196d0a14f3693ef8879,1958-11-11,1958-11-11,1,Forró Na Gafieira,5lLYwrmbqjoMyDoavSa0zh,0.579,0.984,A#,3.07,major,0.0386,0.312,0,0.134,0.979,98.414,167200,4,A# major,0
