album_uri,album_name,album_img,album_release_date,album_release_year,album_popularity,track_name,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode,track_popularity
2pWpkUbtjdVr1tbIC1BmSq,Capim Novo,https://i.scdn.co/image/f893dfd4d5968d88913856689cd39d71192917d4,1976,1976-01-01,17,Capim Novo,34uTsrwnRYE8DNnYwvPfD9,0.698,0.469,A#,-9.898,major,0.0791,0.511,0,0.0575,0.852,160.958,161133,4,A# major,11
2pWpkUbtjdVr1tbIC1BmSq,Capim Novo,https://i.scdn.co/image/f893dfd4d5968d88913856689cd39d71192917d4,1976,1976-01-01,17,Carapeba,6h5FtXEe7tTFWKQYWKA9tl,0.602,0.544,E,-10.015,major,0.037,0.562,0,0.675,0.965,134.603,134867,4,E major,5
2pWpkUbtjdVr1tbIC1BmSq,Capim Novo,https://i.scdn.co/image/f893dfd4d5968d88913856689cd39d71192917d4,1976,1976-01-01,17,Sanfona Sentida,1Ec9lRUsiVMID1TaakvRa3,0.491,0.611,A,-10.38,minor,0.0391,0.45,1.14e-4,0.252,0.931,101.238,168667,4,A minor,23
2pWpkUbtjdVr1tbIC1BmSq,Capim Novo,https://i.scdn.co/image/f893dfd4d5968d88913856689cd39d71192917d4,1976,1976-01-01,17,Mané Gambá,3HqMCU3sga8aoROvQRqBqc,0.688,0.503,A#,-10.539,major,0.0939,0.419,0,0.115,0.965,79.491,141573,4,A# major,8
2pWpkUbtjdVr1tbIC1BmSq,Capim Novo,https://i.scdn.co/image/f893dfd4d5968d88913856689cd39d71192917d4,1976,1976-01-01,17,Saudade Dói,5aZ1juK9K1hkC6hKe0yZqa,0.544,0.549,G#,-12.512,major,0.0662,0.483,0.00334,0.105,0.674,117.324,159907,4,G# major,6
2pWpkUbtjdVr1tbIC1BmSq,Capim Novo,https://i.scdn.co/image/f893dfd4d5968d88913856689cd39d71192917d4,1976,1976-01-01,17,Bandinha De Fé,7IBJa9GrbRXaLDtSjdymnH,0.804,0.485,A#,-9.859,major,0.0433,0.299,0,0.147,0.961,134.872,141467,4,A# major,5
2pWpkUbtjdVr1tbIC1BmSq,Capim Novo,https://i.scdn.co/image/f893dfd4d5968d88913856689cd39d71192917d4,1976,1976-01-01,17,Fulô Da Maravilha,4cS60PFGsbfZbhn7E2nzQh,0.509,0.615,G,-10.06,major,0.057,0.348,0,0.0559,0.892,109.448,142933,4,G major,9
2pWpkUbtjdVr1tbIC1BmSq,Capim Novo,https://i.scdn.co/image/f893dfd4d5968d88913856689cd39d71192917d4,1976,1976-01-01,17,Quero Ver,3IYgBXSL8Ym7gxyBjtFIVN,0.632,0.758,A,-8.374,minor,0.0496,0.521,8.33e-4,0.0252,0.966,143.894,85440,4,A minor,7
2pWpkUbtjdVr1tbIC1BmSq,Capim Novo,https://i.scdn.co/image/f893dfd4d5968d88913856689cd39d71192917d4,1976,1976-01-01,17,São João Nas Capitá,1dkBPjemGik6zzP15WhDlW,0.721,0.676,G,-8.194,major,0.0344,0.25,0,0.292,0.975,137.604,108467,4,G major,5
2pWpkUbtjdVr1tbIC1BmSq,Capim Novo,https://i.scdn.co/image/f893dfd4d5968d88913856689cd39d71192917d4,1976,1976-01-01,17,Nos Cafundó De Bodocó,58gvPlqdqU5XsLdI6ic1eX,0.525,0.511,G,-11.067,major,0.0674,0.471,0,0.125,0.704,90.693,147333,4,G major,10
2pWpkUbtjdVr1tbIC1BmSq,Capim Novo,https://i.scdn.co/image/f893dfd4d5968d88913856689cd39d71192917d4,1976,1976-01-01,17,Roendo Unha,2AXJ87QxnhQAmWdf7xNVfH,0.784,0.491,F,-8.644,minor,0.0367,0.265,0,0.0676,0.961,101.268,113240,4,F minor,14
2pWpkUbtjdVr1tbIC1BmSq,Capim Novo,https://i.scdn.co/image/f893dfd4d5968d88913856689cd39d71192917d4,1976,1976-01-01,17,Apologia Ao Jumento (O Jumento e Nosso Irmão),1bJFOnHE5Vm49hZNk7rxLY,0.55,0.515,G,-10.052,major,0.269,0.619,0,0.706,0.747,171.096,337267,4,G major,8
