album_uri,album_name,album_img,album_release_date,album_release_year,album_popularity,track_name,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode,track_popularity,artist
0Q1CavPzrjhyUedyl5xnhJ,Roberto Carlos (1985) [Remasterizado],https://i.scdn.co/image/f93075ef39aba7228ba83b2e55c1261ea607a068,1985,1985-01-01,19,Verde e Amarelo,2QZ5muanQAfnxm1LLQJPD1,0.811,0.491,F#,-13.718,major,0.0268,0.143,0.00158,0.0753,0.941,106.627,273587,4,F# major,12,Roberto Carlos
0Q1CavPzrjhyUedyl5xnhJ,Roberto Carlos (1985) [Remasterizado],https://i.scdn.co/image/f93075ef39aba7228ba83b2e55c1261ea607a068,1985,1985-01-01,19,De Coracao Pra Coracao,1mFKJyn2szIBfMP4XgfPtz,0.585,0.247,F,-17.34,major,0.0266,0.31,1.58e-4,0.216,0.359,91.587,260600,4,F major,14,Roberto Carlos
0Q1CavPzrjhyUedyl5xnhJ,Roberto Carlos (1985) [Remasterizado],https://i.scdn.co/image/f93075ef39aba7228ba83b2e55c1261ea607a068,1985,1985-01-01,19,Só Vou Se Você For,1wslAYsFDFtJLuGWro7oRG,0.745,0.537,D,-15.435,major,0.0266,0.0827,3.64e-5,0.145,0.934,110.246,280080,4,D major,12,Roberto Carlos
0Q1CavPzrjhyUedyl5xnhJ,Roberto Carlos (1985) [Remasterizado],https://i.scdn.co/image/f93075ef39aba7228ba83b2e55c1261ea607a068,1985,1985-01-01,19,Paz na Terra,6hLmMMfl23POCNGdAb6zPF,0.468,0.334,E,-15.116,major,0.0295,0.013,0.00104,0.154,0.216,130.813,303160,4,E major,9,Roberto Carlos
0Q1CavPzrjhyUedyl5xnhJ,Roberto Carlos (1985) [Remasterizado],https://i.scdn.co/image/f93075ef39aba7228ba83b2e55c1261ea607a068,1985,1985-01-01,19,Contradiçoes,6p8pflBwEw1Ia3bcUPlBE0,0.396,0.216,E,-19.649,major,0.0328,0.0459,2e-4,0.284,0.158,128.029,248480,4,E major,9,Roberto Carlos
0Q1CavPzrjhyUedyl5xnhJ,Roberto Carlos (1985) [Remasterizado],https://i.scdn.co/image/f93075ef39aba7228ba83b2e55c1261ea607a068,1985,1985-01-01,19,Pelas Esquinas da Nossa Casa,74d2VFk6T7s9NUuH17A7ty,0.718,0.407,F#,-18.064,major,0.0296,0.0267,9.65e-4,0.0838,0.801,114.505,292680,4,F# major,8,Roberto Carlos
0Q1CavPzrjhyUedyl5xnhJ,Roberto Carlos (1985) [Remasterizado],https://i.scdn.co/image/f93075ef39aba7228ba83b2e55c1261ea607a068,1985,1985-01-01,19,Símbolo Sexual,24c5K7vB2ZGJ6JqC2xCciJ,0.868,0.548,G,-15.537,major,0.0344,0.094,5.31e-6,0.161,0.971,117.23,278813,4,G major,28,Roberto Carlos
0Q1CavPzrjhyUedyl5xnhJ,Roberto Carlos (1985) [Remasterizado],https://i.scdn.co/image/f93075ef39aba7228ba83b2e55c1261ea607a068,1985,1985-01-01,19,A Atriz,3g6y5sv1MYTgdFIE7Hf77J,0.534,0.236,B,-16.412,major,0.0323,0.0354,2.16e-5,0.0904,0.169,128.78,268667,4,B major,9,Roberto Carlos
0Q1CavPzrjhyUedyl5xnhJ,Roberto Carlos (1985) [Remasterizado],https://i.scdn.co/image/f93075ef39aba7228ba83b2e55c1261ea607a068,1985,1985-01-01,19,Você na Minha Mente,2u3u9Wk5iCxGtn4jTpToIC,0.661,0.395,E,-14.643,minor,0.0287,0.0047,3.93e-5,0.12,0.406,94.24,276787,4,E minor,7,Roberto Carlos
0Q1CavPzrjhyUedyl5xnhJ,Roberto Carlos (1985) [Remasterizado],https://i.scdn.co/image/f93075ef39aba7228ba83b2e55c1261ea607a068,1985,1985-01-01,19,Da Boca Pra Fora,34YRppCllKYqC7c6R8OIEU,0.563,0.312,C#,-16.157,major,0.0323,0.0432,2.64e-5,0.214,0.308,137.19,261507,4,C# major,9,Roberto Carlos
