playlist_id,playlist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track.id,time_signature,track.disc_number,track.duration_ms,track.explicit,track.href,track.is_local,track.name,track.popularity,track.preview_url,track.track_number,track.uri,track.album.id,track.album.name,track.album.release_date,track.album.release_date_precision,key_name,mode_name,key_mode
37i9dQZF1DWYYeOy9vs7I5,Bonde do Funk,0.819,0.684,6,-7.169,0,0.119,0.132,0,0.0942,0.959,170.187,5dKesZwp6deuhEeW8F1UEi,4,1,137125,FALSE,https://api.spotify.com/v1/tracks/5dKesZwp6deuhEeW8F1UEi,FALSE,Hit Contagiante,81,https://p.scdn.co/mp3-preview/7dfc99927a8129ec628b4ea414c1a48dcd161c91?cid=5980655d195f46ee8995cd0e1dd7f376,1,spotify:track:5dKesZwp6deuhEeW8F1UEi,5da8Quq01mGKZvEpBRfFZh,Hit Contagiante,2019-07-26,day,F#,minor,F# minor
37i9dQZF1DWYYeOy9vs7I5,Bonde do Funk,0.94,0.711,3,-3.975,1,0.191,0.00369,1.17e-4,0.0765,0.693,130,4mkagJJ8AM1hzeyrgAJc3x,4,1,132923,FALSE,https://api.spotify.com/v1/tracks/4mkagJJ8AM1hzeyrgAJc3x,FALSE,Te Amo Sem Compromisso,80,https://p.scdn.co/mp3-preview/872fd496704cf2e7a66d8494e861b20495d8adaa?cid=5980655d195f46ee8995cd0e1dd7f376,2,spotify:track:4mkagJJ8AM1hzeyrgAJc3x,0SG6SKXEwpoQLrrpuD5wDv,Sintonia (Uma Serie Original Netflix Sintonia Kondzilla),2019-08-16,day,D#,major,D# major
37i9dQZF1DWVLcZxJO5zyf,Pop Brasil,0.94,0.711,3,-3.975,1,0.191,0.00369,1.17e-4,0.0765,0.693,130,4mkagJJ8AM1hzeyrgAJc3x,4,1,132923,FALSE,https://api.spotify.com/v1/tracks/4mkagJJ8AM1hzeyrgAJc3x,FALSE,Te Amo Sem Compromisso,80,https://p.scdn.co/mp3-preview/872fd496704cf2e7a66d8494e861b20495d8adaa?cid=5980655d195f46ee8995cd0e1dd7f376,2,spotify:track:4mkagJJ8AM1hzeyrgAJc3x,0SG6SKXEwpoQLrrpuD5wDv,Sintonia (Uma Serie Original Netflix Sintonia Kondzilla),2019-08-16,day,D#,major,D# major
37i9dQZF1DWYYeOy9vs7I5,Bonde do Funk,0.888,0.841,6,-1.933,1,0.147,0.46,9.12e-5,0.0568,0.964,149.994,14kRWkCWBYfQqILflEcpSJ,4,1,120200,FALSE,https://api.spotify.com/v1/tracks/14kRWkCWBYfQqILflEcpSJ,FALSE,Chama Ela (feat. Pedro Sampaio),0,https://p.scdn.co/mp3-preview/369d920ab612abadf0a27cd99e288306d300c8fe?cid=5980655d195f46ee8995cd0e1dd7f376,1,spotify:track:14kRWkCWBYfQqILflEcpSJ,5st5iXtyMBDo6OLBUBqSpW,Chama Ela (feat. Pedro Sampaio),2019-09-20,day,F#,major,F# major
37i9dQZF1DWYYeOy9vs7I5,Bonde do Funk,0.708,0.305,6,-10.192,1,0.841,0.307,8.82e-6,0.12,0.86,104.432,3N6isgIE6SAFbRfRIbQ3sd,5,1,133877,FALSE,https://api.spotify.com/v1/tracks/3N6isgIE6SAFbRfRIbQ3sd,FALSE,Morena Cor do Pecado,52,https://p.scdn.co/mp3-preview/571237a415c038a4b1492c01ef340afdc786f9dc?cid=5980655d195f46ee8995cd0e1dd7f376,1,spotify:track:3N6isgIE6SAFbRfRIbQ3sd,2GocJ7LJ2WcAKP1qPf7BcF,Morena Cor do Pecado,2019-09-13,day,F#,major,F# major
37i9dQZF1DWYYeOy9vs7I5,Bonde do Funk,0.722,0.691,7,-5.082,1,0.115,0.215,0,0.0959,0.573,160.08,5edd2m7DvEglQqwUd1LmQd,4,1,140884,FALSE,https://api.spotify.com/v1/tracks/5edd2m7DvEglQqwUd1LmQd,FALSE,Reboladinha,0,NA,1,spotify:track:5edd2m7DvEglQqwUd1LmQd,6oiLemRKD3hsSpn8Pvlwuy,Reboladinha,2019-03-08,day,G,major,G major
37i9dQZF1DWYYeOy9vs7I5,Bonde do Funk,0.794,0.504,1,-5.076,1,0.0467,0.178,0,0.0943,0.57,85.939,0YrpB57RqlspbGk6soC0W9,4,1,139534,FALSE,https://api.spotify.com/v1/tracks/0YrpB57RqlspbGk6soC0W9,FALSE,Tá Proibido de Me Ver Amanhã,57,https://p.scdn.co/mp3-preview/16fe3cfb08a17d932f70eefd53e4b896a89b4ca5?cid=5980655d195f46ee8995cd0e1dd7f376,1,spotify:track:0YrpB57RqlspbGk6soC0W9,6krMXP0TwuYTcYyyPhAdS8,Tá Proibido de Me Ver Amanhã,2019-08-30,day,C#,major,C# major
37i9dQZF1DWYYeOy9vs7I5,Bonde do Funk,0.779,0.861,3,-3.958,0,0.124,0.24,0,0.161,0.911,146.062,4H9vyrlKZpzd1FW3oupnzD,4,1,123287,FALSE,https://api.spotify.com/v1/tracks/4H9vyrlKZpzd1FW3oupnzD,FALSE,Credo que delícia,72,https://p.scdn.co/mp3-preview/9f36791cbd83b36537b86d7eb71a8736eb910e80?cid=5980655d195f46ee8995cd0e1dd7f376,1,spotify:track:4H9vyrlKZpzd1FW3oupnzD,3LCL8DpomDSYl00NdXkYFs,Credo que delícia,2019-08-22,day,D#,minor,D# minor
37i9dQZF1DWYYeOy9vs7I5,Bonde do Funk,0.563,0.749,0,-4.414,0,0.0588,0.12,1.96e-4,0.0597,0.651,99.274,6bSvoJ36Z446sBPf7NEhh9,5,1,143376,FALSE,https://api.spotify.com/v1/tracks/6bSvoJ36Z446sBPf7NEhh9,FALSE,Pode chorar,59,https://p.scdn.co/mp3-preview/70fcfbe865c662c11c8b53bb0c9ab1b4392aef29?cid=5980655d195f46ee8995cd0e1dd7f376,1,spotify:track:6bSvoJ36Z446sBPf7NEhh9,7wt4CjNHK71R6dFOv1zE02,Pode chorar,2019-08-23,day,C,minor,C minor
37i9dQZF1DWYYeOy9vs7I5,Bonde do Funk,0.729,0.886,11,-2.926,1,0.106,0.113,0,0.202,0.781,139.862,42Da3AUXS33ukp0hYTvxUz,4,1,147428,FALSE,https://api.spotify.com/v1/tracks/42Da3AUXS33ukp0hYTvxUz,FALSE,Cavalgada,0,NA,1,spotify:track:42Da3AUXS33ukp0hYTvxUz,2FU7b3vRNEVU3G9Dkphe5L,Cavalgada,2019-09-20,day,B,major,B major
