album_uri,album_name,album_img,album_release_date,album_release_year,album_popularity,track_name,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode,track_popularity,artist
6Th061x6DJABLUwNSL3Pv6,Caetano Canta (Volume 2),https://i.scdn.co/image/34ca58c4c9637188eb8ebcca4701457f340a09bd,2002-01-01,2002-01-01,22,Mora Na Filosofia,4WQOzZ2cN2ihLspIIfqIXE,0.457,0.213,D,-15.908,major,0.0472,0.604,3.21e-4,0.15,0.187,140.139,376973,4,D major,14,Caetano Veloso
6Th061x6DJABLUwNSL3Pv6,Caetano Canta (Volume 2),https://i.scdn.co/image/34ca58c4c9637188eb8ebcca4701457f340a09bd,2002-01-01,2002-01-01,22,Chuvas De Verão,3FE7l0BVFne0nS7n9lAYWf,0.464,0.24,A,-15.849,minor,0.0712,0.434,0.00101,0.57,0.447,136.548,170080,4,A minor,10,Caetano Veloso
6Th061x6DJABLUwNSL3Pv6,Caetano Canta (Volume 2),https://i.scdn.co/image/34ca58c4c9637188eb8ebcca4701457f340a09bd,2002-01-01,2002-01-01,22,Asa Branca,1g7pGkM8J4NI6PQMgmCcLI,0.478,0.0148,D,-23.23,major,0.0482,0.9,0.0542,0.136,0.168,117.217,444120,4,D major,10,Caetano Veloso
6Th061x6DJABLUwNSL3Pv6,Caetano Canta (Volume 2),https://i.scdn.co/image/34ca58c4c9637188eb8ebcca4701457f340a09bd,2002-01-01,2002-01-01,22,Rita / Esse Cara - Live,7F9U5zhxGtgK8SK9NnYX6H,0.427,0.138,F,-16.22,major,0.109,0.831,5.79e-5,0.967,0.442,81.246,209413,1,F major,9,Caetano Veloso
6Th061x6DJABLUwNSL3Pv6,Caetano Canta (Volume 2),https://i.scdn.co/image/34ca58c4c9637188eb8ebcca4701457f340a09bd,2002-01-01,2002-01-01,22,Coração Materno - Original Album,34pXm9Wz7nShYoYpL82gbZ,0.313,0.222,A,-13.608,major,0.0285,0.549,0,0.104,0.266,98.859,256613,3,A major,31,Caetano Veloso
6Th061x6DJABLUwNSL3Pv6,Caetano Canta (Volume 2),https://i.scdn.co/image/34ca58c4c9637188eb8ebcca4701457f340a09bd,2002-01-01,2002-01-01,22,Tonada De Luna Llena,3G8VVK6jb3djxMfSTBruNw,0.432,0.215,D#,-14.084,minor,0.0542,0.808,0.00446,0.105,0.205,155.738,193720,3,D# minor,10,Caetano Veloso
6Th061x6DJABLUwNSL3Pv6,Caetano Canta (Volume 2),https://i.scdn.co/image/34ca58c4c9637188eb8ebcca4701457f340a09bd,2002-01-01,2002-01-01,22,Calunia - Live,5mcFuzXICgOaRiK8NwJd4Y,0.574,0.292,G,-15.228,major,0.103,0.898,0.0506,0.983,0.377,84.012,85627,3,G major,6,Caetano Veloso
6Th061x6DJABLUwNSL3Pv6,Caetano Canta (Volume 2),https://i.scdn.co/image/34ca58c4c9637188eb8ebcca4701457f340a09bd,2002-01-01,2002-01-01,22,Dans Mon Ile,3AJdJpt5LqBGfwdpRWVmH3,0.492,0.157,B,-16.621,minor,0.0447,0.862,0.038,0.137,0.199,98.615,177867,4,B minor,9,Caetano Veloso
6Th061x6DJABLUwNSL3Pv6,Caetano Canta (Volume 2),https://i.scdn.co/image/34ca58c4c9637188eb8ebcca4701457f340a09bd,2002-01-01,2002-01-01,22,Pra Que Mentir - Live,0kCggH3Ebt57N3R2SDH3ai,0.513,0.244,F,-16.16,minor,0.224,0.846,0.0492,0.97,0.258,65.057,192e3,3,F minor,7,Caetano Veloso
6Th061x6DJABLUwNSL3Pv6,Caetano Canta (Volume 2),https://i.scdn.co/image/34ca58c4c9637188eb8ebcca4701457f340a09bd,2002-01-01,2002-01-01,22,Fera Ferida - Original Album,6PJFKFB5qmx2JfCATd5UmI,0.734,0.44,C,-10.688,major,0.027,0.698,0,0.0859,0.58,109.599,285667,4,C major,12,Caetano Veloso
6Th061x6DJABLUwNSL3Pv6,Caetano Canta (Volume 2),https://i.scdn.co/image/34ca58c4c9637188eb8ebcca4701457f340a09bd,2002-01-01,2002-01-01,22,Mano A Mano - Live 1992,7j3TUNaIoxD4mH1Badr9rM,0.486,0.296,C,-12.067,minor,0.276,0.831,2.67e-6,0.98,0.42,85.634,256147,3,C minor,7,Caetano Veloso
6Th061x6DJABLUwNSL3Pv6,Caetano Canta (Volume 2),https://i.scdn.co/image/34ca58c4c9637188eb8ebcca4701457f340a09bd,2002-01-01,2002-01-01,22,Eu Sei Que Vou Te Amar,0V0GclL9HpaOHllg8FOY9Y,0.615,0.0166,C,-21.21,major,0.0434,0.882,1.02e-5,0.0955,0.182,91.03,230520,4,C major,9,Caetano Veloso
6Th061x6DJABLUwNSL3Pv6,Caetano Canta (Volume 2),https://i.scdn.co/image/34ca58c4c9637188eb8ebcca4701457f340a09bd,2002-01-01,2002-01-01,22,Caetano Velosoture Boy - Live,1Bd7ot5zWt6ZdeLTz0JOHI,0.556,0.143,D,-22.891,minor,0.156,0.863,2.71e-4,0.954,0.4,108.108,98227,4,D minor,7,Caetano Veloso
7BDkBqkEcFl9IHMayykDMS,Eu Não Peço Desculpa,https://i.scdn.co/image/627af0e081976e9b9051b52332f64fdb8925e115,2002-01-01,2002-01-01,25,Todo Errado,36GC0LlxptrvQfp2xgYmgD,0.603,0.462,C,-8.905,major,0.0351,0.159,9.1e-6,0.344,0.633,94.895,230693,4,C major,24,Caetano Veloso
7BDkBqkEcFl9IHMayykDMS,Eu Não Peço Desculpa,https://i.scdn.co/image/627af0e081976e9b9051b52332f64fdb8925e115,2002-01-01,2002-01-01,25,Feitico,30qjJ4hXSjAFx3e1Vu6vj7,0.828,0.652,G,-10.002,major,0.0884,0.186,6.76e-6,0.261,0.967,80.958,140173,4,G major,21,Caetano Veloso
7BDkBqkEcFl9IHMayykDMS,Eu Não Peço Desculpa,https://i.scdn.co/image/627af0e081976e9b9051b52332f64fdb8925e115,2002-01-01,2002-01-01,25,Manjar De Reis,21HfnPaGHeCKVhXhzwvChn,0.729,0.885,D,-11.196,major,0.052,0.171,0.293,0.274,0.409,131.973,238560,4,D major,17,Caetano Veloso
